Pais,Code_x,Year,R&D  (% of GDP),Publicacions
Argentina,ARG,2016,0.55815,314
Argentina,ARG,2017,0.55631,290
Argentina,ARG,2018,0.49435,310
Argentina,ARG,2019,0.45713,298
Australia,AUS,2017,1.87926,2529
Australia,AUS,2017,1.87926,2529
Australia,AUS,2019,1.82928,2833
Austria,AUT,2016,3.11655,901
Austria,AUT,2017,3.05656,1048
Austria,AUT,2018,3.09058,1030
Austria,AUT,2019,3.12972,1097
Austria,AUT,2020,3.20128,1137
Belgium,BEL,2016,2.52338,1057
Belgium,BEL,2017,2.66666,1112
Belgium,BEL,2018,2.86031,1114
Belgium,BEL,2019,3.16,1190
Belgium,BEL,2020,3.4772,1180
Brazil,BRA,2016,1.28637,753
Brazil,BRA,2017,1.1175,814
Brazil,BRA,2018,1.16769,863
Brazil,BRA,2019,1.20803,951
Canada,CAN,2016,1.72873,3268
Canada,CAN,2017,1.6858,3032
Canada,CAN,2018,1.67917,3130
Canada,CAN,2019,1.59163,3326
Canada,CAN,2020,1.69781,3414
Chile,CHL,2016,0.36934,382
Chile,CHL,2017,0.35593,354
Chile,CHL,2018,0.36647,371
Chile,CHL,2019,0.34095,404
China,CHN,2016,2.10033,10692
China,CHN,2017,2.11603,11195
China,CHN,2018,2.14058,12845
China,CHN,2019,2.24463,15612
China,CHN,2020,2.40093,18043
Colombia,COL,2016,0.27051,231
Colombia,COL,2017,0.26109,240
Colombia,COL,2018,0.31233,270
Colombia,COL,2019,0.32169,287
Colombia,COL,2020,0.28812,272
Czech Republic,CZE,2016,1.67003,573
Czech Republic,CZE,2017,1.76855,568
Czech Republic,CZE,2018,1.89945,638
Czech Republic,CZE,2019,1.92773,714
Czech Republic,CZE,2020,1.99104,723
Denmark,DNK,2016,3.09283,1050
Denmark,DNK,2017,2.93124,1048
Denmark,DNK,2018,2.96603,1054
Denmark,DNK,2019,2.888,1154
Denmark,DNK,2020,2.96154,1152
Finland,FIN,2016,2.72442,649
Finland,FIN,2017,2.72787,626
Finland,FIN,2018,2.75742,617
Finland,FIN,2019,2.79683,738
Finland,FIN,2020,2.93544,738
France,FRA,2016,2.22238,4857
France,FRA,2017,2.19888,4850
France,FRA,2018,2.19666,4744
France,FRA,2019,2.19179,4922
France,FRA,2020,2.35493,5078
Gambia,GMB,2018,0.06933,
Georgia,GEO,2016,0.28586,
Georgia,GEO,2017,0.27023,
Georgia,GEO,2018,0.28052,
Georgia,GEO,2019,0.28468,
Georgia,GEO,2020,0.3008,
Germany,DEU,2016,2.94039,8301
Germany,DEU,2017,3.0471,8291
Germany,DEU,2018,3.10788,8212
Germany,DEU,2019,3.1677,8819
Germany,DEU,2020,3.14426,8801
Greece,GRC,2016,1.00529,408
Greece,GRC,2017,1.15228,389
Greece,GRC,2018,1.21371,398
Greece,GRC,2019,1.27566,432
Greece,GRC,2020,1.4961,423
Hungary,HUN,2016,1.17963,341
Hungary,HUN,2017,1.3168,323
Hungary,HUN,2018,1.50755,340
Hungary,HUN,2019,1.47736,392
Hungary,HUN,2020,1.60766,376
Iceland,ISL,2016,2.1098,78
Iceland,ISL,2017,2.08412,98
Iceland,ISL,2018,2.0002,107
Iceland,ISL,2019,2.3233,103
Iceland,ISL,2020,2.47176,115
India,IND,2016,0.66984,1410
India,IND,2017,0.66603,1337
India,IND,2018,0.65573,1467
Iran,IRN,2017,0.83027,209
Iran,IRN,2019,0.88359,310
Ireland,IRL,2016,1.17571,434
Ireland,IRL,2017,1.2554,426
Ireland,IRL,2018,1.1693,471
Ireland,IRL,2019,1.22589,481
Ireland,IRL,2020,1.23233,450
Israel,ISR,2016,4.51087,1187
Israel,ISR,2017,4.65676,1122
Israel,ISR,2018,4.79662,1199
Israel,ISR,2019,5.13983,1233
Israel,ISR,2020,5.43562,1292
Italy,ITA,2016,1.36642,2632
Italy,ITA,2017,1.37013,2479
Italy,ITA,2018,1.42443,2552
Italy,ITA,2019,1.46299,2677
Italy,ITA,2020,1.53391,2657
Japan,JPN,2016,3.10666,5063
Japan,JPN,2017,3.16636,4804
Japan,JPN,2018,3.22175,4782
Japan,JPN,2019,3.19899,4935
Japan,JPN,2020,3.26317,4914
Mexico,MEX,2016,0.38778,293
Mexico,MEX,2017,0.32832,313
Mexico,MEX,2018,0.30711,350
Mexico,MEX,2019,0.28384,395
Mexico,MEX,2020,0.30096,380
Netherlands,NLD,2016,2.15081,2118
Netherlands,NLD,2017,2.17857,2219
Netherlands,NLD,2018,2.1388,2232
Netherlands,NLD,2019,2.18435,2320
Netherlands,NLD,2020,2.29423,2411
New Zealand,NZL,2017,1.34654,358
New Zealand,NZL,2019,1.40774,435
Norway,NOR,2016,2.0446,564
Norway,NOR,2017,2.09919,595
Norway,NOR,2018,2.04781,653
Norway,NOR,2019,2.15302,686
Norway,NOR,2020,2.27601,737
Poland,POL,2016,0.96287,768
Poland,POL,2017,1.03418,748
Poland,POL,2018,1.20891,813
Poland,POL,2019,1.32064,856
Poland,POL,2020,1.39205,828
Portugal,PRT,2016,1.28075,497
Portugal,PRT,2017,1.31928,500
Portugal,PRT,2018,1.34955,534
Portugal,PRT,2019,1.39562,643
Portugal,PRT,2020,1.6174,558
Romania,ROU,2016,0.48126,212
Romania,ROU,2017,0.50322,216
Romania,ROU,2018,0.50112,235
Romania,ROU,2019,0.47832,217
Romania,ROU,2020,0.47033,213
Russia,RUS,2016,1.10238,1151
Russia,RUS,2017,1.10967,1244
Russia,RUS,2018,0.99002,1300
Russia,RUS,2019,1.03879,1452
Russia,RUS,2020,1.09803,1419
Saudi Arabia,SAU,2020,0.52232,452
Singapore,SGP,2016,2.07471,1105
Singapore,SGP,2017,1.89872,1061
Singapore,SGP,2018,1.81391,1136
Singapore,SGP,2019,1.89064,1204
Slovenia,SVN,2016,2.00764,214
Slovenia,SVN,2017,1.8653,182
Slovenia,SVN,2018,1.94645,179
Slovenia,SVN,2019,2.04704,190
Slovenia,SVN,2020,2.14735,184
South Africa,ZAF,2016,0.74992,332
South Africa,ZAF,2017,0.76257,307
South Africa,ZAF,2018,0.68657,353
South Africa,ZAF,2019,0.61525,357
South Korea,KOR,2016,3.98704,2244
South Korea,KOR,2017,4.29206,2151
South Korea,KOR,2018,4.51633,2129
South Korea,KOR,2019,4.62703,2291
South Korea,KOR,2020,4.8145,2422
Spain,ESP,2016,1.19048,2642
Spain,ESP,2017,1.21042,2626
Spain,ESP,2018,1.24213,2516
Spain,ESP,2019,1.25139,2738
Spain,ESP,2020,1.40541,2786
Sweden,SWE,2016,3.24736,1578
Sweden,SWE,2017,3.36279,1610
Sweden,SWE,2018,3.32106,1650
Sweden,SWE,2019,3.38758,1732
Sweden,SWE,2020,3.52722,1843
Switzerland,CHE,2017,3.03413,2931
Switzerland,CHE,2019,3.14686,3261
Thailand,THA,2016,0.77829,165
Thailand,THA,2017,1.00166,165
Thailand,THA,2018,1.11406,223
Thailand,THA,2019,1.14257,241
Turkey,TUR,2016,0.93816,357
Turkey,TUR,2017,0.95272,336
Turkey,TUR,2018,1.02517,327
Turkey,TUR,2019,1.06429,382
Turkey,TUR,2020,1.08893,375
United Kingdom,GBR,2016,1.64281,7344
United Kingdom,GBR,2017,1.65981,7296
United Kingdom,GBR,2018,1.70494,7330
United Kingdom,GBR,2019,1.70799,7683
United States,USA,2016,2.84585,27562
United States,USA,2017,2.89572,26921
United States,USA,2018,3.00082,27350
United States,USA,2019,3.16609,28442
United States,USA,2020,3.45018,28449
