Entity,Code,Year,Research and development expenditure (% of GDP)
Algeria,DZA,2017,0.53432
Angola,AGO,2016,0.03229
Argentina,ARG,2015,0.62262
Argentina,ARG,2016,0.55815
Argentina,ARG,2017,0.55631
Argentina,ARG,2018,0.49435
Argentina,ARG,2019,0.45713
Armenia,ARM,2015,0.25002
Armenia,ARM,2016,0.23305
Armenia,ARM,2017,0.22788
Armenia,ARM,2018,0.18876
Armenia,ARM,2019,0.17854
Armenia,ARM,2020,0.20921
Australia,AUS,2015,1.92083
Australia,AUS,2017,1.87926
Australia,AUS,2019,1.82928
Austria,AUT,2015,3.04969
Austria,AUT,2016,3.11655
Austria,AUT,2017,3.05656
Austria,AUT,2018,3.09058
Austria,AUT,2019,3.12972
Austria,AUT,2020,3.20128
Azerbaijan,AZE,2015,0.22232
Azerbaijan,AZE,2016,0.20637
Azerbaijan,AZE,2017,0.18468
Azerbaijan,AZE,2018,0.18416
Azerbaijan,AZE,2019,0.20013
Azerbaijan,AZE,2020,0.22435
Belarus,BLR,2015,0.49999
Belarus,BLR,2016,0.50063
Belarus,BLR,2017,0.58411
Belarus,BLR,2018,0.60443
Belarus,BLR,2019,0.57733
Belarus,BLR,2020,0.54897
Belgium,BEL,2015,2.42817
Belgium,BEL,2016,2.52338
Belgium,BEL,2017,2.66666
Belgium,BEL,2018,2.86031
Belgium,BEL,2019,3.16
Belgium,BEL,2020,3.4772
Bermuda,BMU,2015,0.19507
Bermuda,BMU,2018,0.22856
Bermuda,BMU,2019,0.26237
Bermuda,BMU,2020,0.22693
Bosnia and Herzegovina,BIH,2015,0.2186
Bosnia and Herzegovina,BIH,2016,0.21594
Bosnia and Herzegovina,BIH,2017,0.20048
Bosnia and Herzegovina,BIH,2018,0.19485
Bosnia and Herzegovina,BIH,2019,0.19264
Bosnia and Herzegovina,BIH,2020,0.20614
Brazil,BRA,2015,1.37093
Brazil,BRA,2016,1.28637
Brazil,BRA,2017,1.1175
Brazil,BRA,2018,1.16769
Brazil,BRA,2019,1.20803
Brunei,BRN,2018,0.27763
Bulgaria,BGR,2015,0.94917
Bulgaria,BGR,2016,0.76976
Bulgaria,BGR,2017,0.73995
Bulgaria,BGR,2018,0.75379
Bulgaria,BGR,2019,0.83237
Bulgaria,BGR,2020,0.85351
Burkina Faso,BFA,2017,0.61361
Burkina Faso,BFA,2019,0.17278
Burkina Faso,BFA,2020,0.24824
Burundi,BDI,2018,0.21312
Cambodia,KHM,2015,0.11823
Canada,CAN,2015,1.69324
Canada,CAN,2016,1.72873
Canada,CAN,2017,1.6858
Canada,CAN,2018,1.67917
Canada,CAN,2019,1.59163
Canada,CAN,2020,1.69781
Chad,TCD,2016,0.3005
Chile,CHL,2015,0.38073
Chile,CHL,2016,0.36934
Chile,CHL,2017,0.35593
Chile,CHL,2018,0.36647
Chile,CHL,2019,0.34095
China,CHN,2015,2.05701
China,CHN,2016,2.10033
China,CHN,2017,2.11603
China,CHN,2018,2.14058
China,CHN,2019,2.24463
China,CHN,2020,2.40093
Colombia,COL,2015,0.36542
Colombia,COL,2016,0.27051
Colombia,COL,2017,0.26109
Colombia,COL,2018,0.31233
Colombia,COL,2019,0.32169
Colombia,COL,2020,0.28812
Costa Rica,CRI,2015,0.43665
Costa Rica,CRI,2016,0.44335
Costa Rica,CRI,2017,0.42587
Costa Rica,CRI,2018,0.37144
Cote d'Ivoire,CIV,2016,0.0704
Croatia,HRV,2015,0.82948
Croatia,HRV,2016,0.85162
Croatia,HRV,2017,0.84892
Croatia,HRV,2018,0.9523
Croatia,HRV,2019,1.08105
Croatia,HRV,2020,1.24844
Cuba,CUB,2015,0.42854
Cuba,CUB,2016,0.34223
Cuba,CUB,2017,0.43066
Cuba,CUB,2018,0.53691
Cuba,CUB,2019,0.55308
Cuba,CUB,2020,0.51838
Cyprus,CYP,2015,0.47689
Cyprus,CYP,2016,0.52202
Cyprus,CYP,2017,0.54439
Cyprus,CYP,2018,0.61583
Cyprus,CYP,2019,0.71463
Cyprus,CYP,2020,0.82234
Czec Republic,CZE,2015,1.91689
Czech Republic,CZE,2016,1.67003
Czech Republic,CZE,2017,1.76855
Czech Republic,CZE,2018,1.89945
Czech Republic,CZE,2019,1.92773
Czech Republic,CZE,2020,1.99104
Democratic Republic of Congo,COD,2015,0.40638
Denmark,DNK,2015,3.05497
Denmark,DNK,2016,3.09283
Denmark,DNK,2017,2.93124
Denmark,DNK,2018,2.96603
Denmark,DNK,2019,2.888
Denmark,DNK,2020,2.96154
East Asia and Pacific (WB),,2015,2.3239377
East Asia and Pacific (WB),,2016,2.339509
East Asia and Pacific (WB),,2017,2.3170886
East Asia and Pacific (WB),,2018,2.3556936
East Asia and Pacific (WB),,2019,2.392883
East Asia and Pacific (WB),,2020,2.6335154
Egypt,EGY,2015,0.71858
Egypt,EGY,2016,0.70848
Egypt,EGY,2017,0.67941
Egypt,EGY,2018,0.72388
Egypt,EGY,2019,0.83715
Egypt,EGY,2020,0.96218
El Salvador,SLV,2015,0.14348
El Salvador,SLV,2016,0.14493
El Salvador,SLV,2017,0.18078
El Salvador,SLV,2018,0.16531
El Salvador,SLV,2019,0.17467
Estonia,EST,2015,1.4675
Estonia,EST,2016,1.24306
Estonia,EST,2017,1.27685
Estonia,EST,2018,1.41624
Estonia,EST,2019,1.63337
Estonia,EST,2020,1.79247
Eswatini,SWZ,2015,0.26754
Ethiopia,ETH,2017,0.27437
Europe and Central Asia (WB),,2015,1.9050667
Europe and Central Asia (WB),,2016,1.8853898
Europe and Central Asia (WB),,2017,1.9472256
Europe and Central Asia (WB),,2018,1.9413218
Europe and Central Asia (WB),,2019,2.006795
Europe and Central Asia (WB),,2020,2.109941
European Union (27),,2015,2.1182249
European Union (27),,2016,2.1171753
European Union (27),,2017,2.1525798
European Union (27),,2018,2.185032
European Union (27),,2019,2.2239509
European Union (27),,2020,2.323652
Finland,FIN,2015,2.87196
Finland,FIN,2016,2.72442
Finland,FIN,2017,2.72787
Finland,FIN,2018,2.75742
Finland,FIN,2019,2.79683
Finland,FIN,2020,2.93544
France,FRA,2015,2.22702
France,FRA,2016,2.22238
France,FRA,2017,2.19888
France,FRA,2018,2.19666
France,FRA,2019,2.19179
France,FRA,2020,2.35493
Gambia,GMB,2018,0.06933
Georgia,GEO,2015,0.29928
Georgia,GEO,2016,0.28586
Georgia,GEO,2017,0.27023
Georgia,GEO,2018,0.28052
Georgia,GEO,2019,0.28468
Georgia,GEO,2020,0.3008
Germany,DEU,2015,2.93379
Germany,DEU,2016,2.94039
Germany,DEU,2017,3.0471
Germany,DEU,2018,3.10788
Germany,DEU,2019,3.1677
Germany,DEU,2020,3.14426
Greece,GRC,2015,0.96605
Greece,GRC,2016,1.00529
Greece,GRC,2017,1.15228
Greece,GRC,2018,1.21371
Greece,GRC,2019,1.27566
Greece,GRC,2020,1.4961
Guatemala,GTM,2015,0.03064
Guatemala,GTM,2016,0.02311
Guatemala,GTM,2017,0.02955
Guatemala,GTM,2018,0.02943
Guatemala,GTM,2019,0.02647
High-income countries,,2015,2.4620476
High-income countries,,2016,2.5186825
High-income countries,,2017,2.558596
High-income countries,,2018,2.6213546
High-income countries,,2019,2.7017553
High-income countries,,2020,2.969775
Honduras,HND,2015,0.01497
Honduras,HND,2017,0.03994
Hong Kong,HKG,2015,0.76183
Hong Kong,HKG,2016,0.79155
Hong Kong,HKG,2017,0.83526
Hong Kong,HKG,2018,0.8634
Hong Kong,HKG,2019,0.92572
Hong Kong,HKG,2020,0.98766
Hungary,HUN,2015,1.3392
Hungary,HUN,2016,1.17963
Hungary,HUN,2017,1.3168
Hungary,HUN,2018,1.50755
Hungary,HUN,2019,1.47736
Hungary,HUN,2020,1.60766
Iceland,ISL,2015,2.18139
Iceland,ISL,2016,2.1098
Iceland,ISL,2017,2.08412
Iceland,ISL,2018,2.0002
Iceland,ISL,2019,2.3233
Iceland,ISL,2020,2.47176
India,IND,2015,0.6931
India,IND,2016,0.66984
India,IND,2017,0.66603
India,IND,2018,0.65573
Indonesia,IDN,2016,0.24535
Indonesia,IDN,2017,0.23805
Indonesia,IDN,2018,0.22632
Indonesia,IDN,2019,0.2713
Indonesia,IDN,2020,0.28084
Iran,IRN,2015,0.41763
Iran,IRN,2017,0.83027
Iran,IRN,2019,0.88359
Iraq,IRQ,2015,0.04017
Iraq,IRQ,2016,0.03737
Iraq,IRQ,2017,0.04596
Iraq,IRQ,2018,0.04279
Iraq,IRQ,2019,0.03246
Iraq,IRQ,2020,0.04397
Ireland,IRL,2015,1.18291
Ireland,IRL,2016,1.17571
Ireland,IRL,2017,1.2554
Ireland,IRL,2018,1.1693
Ireland,IRL,2019,1.22589
Ireland,IRL,2020,1.23233
Israel,ISR,2015,4.26148
Israel,ISR,2016,4.51087
Israel,ISR,2017,4.65676
Israel,ISR,2018,4.79662
Israel,ISR,2019,5.13983
Israel,ISR,2020,5.43562
Italy,ITA,2015,1.3385
Italy,ITA,2016,1.36642
Italy,ITA,2017,1.37013
Italy,ITA,2018,1.42443
Italy,ITA,2019,1.46299
Italy,ITA,2020,1.53391
Japan,JPN,2015,3.24071
Japan,JPN,2016,3.10666
Japan,JPN,2017,3.16636
Japan,JPN,2018,3.22175
Japan,JPN,2019,3.19899
Japan,JPN,2020,3.26317
Jordan,JOR,2016,0.69547
Kazakhstan,KAZ,2015,0.16951
Kazakhstan,KAZ,2016,0.14179
Kazakhstan,KAZ,2017,0.12667
Kazakhstan,KAZ,2018,0.11683
Kazakhstan,KAZ,2019,0.11841
Kazakhstan,KAZ,2020,0.12602
Kazakhstan,KAZ,2021,0.13245
Kuwait,KWT,2015,0.0966
Kuwait,KWT,2016,0.07985
Kuwait,KWT,2017,0.0804
Kuwait,KWT,2018,0.06349
Kuwait,KWT,2019,0.19146
Kuwait,KWT,2020,0.18661
Kyrgyzstan,KGZ,2015,0.11903
Kyrgyzstan,KGZ,2016,0.11121
Kyrgyzstan,KGZ,2017,0.10707
Kyrgyzstan,KGZ,2018,0.10107
Kyrgyzstan,KGZ,2019,0.09016
Kyrgyzstan,KGZ,2020,0.08933
Latin America and Caribbean (WB),,2015,0.7681177
Latin America and Caribbean (WB),,2016,0.72843546
Latin America and Caribbean (WB),,2017,0.6568624
Latin America and Caribbean (WB),,2018,0.6582916
Latin America and Caribbean (WB),,2019,0.66577244
Latvia,LVA,2015,0.61981
Latvia,LVA,2016,0.43514
Latvia,LVA,2017,0.51104
Latvia,LVA,2018,0.63869
Latvia,LVA,2019,0.63693
Latvia,LVA,2020,0.7055
Lesotho,LSO,2015,0.05101
Lithuania,LTU,2015,1.04341
Lithuania,LTU,2016,0.84241
Lithuania,LTU,2017,0.89626
Lithuania,LTU,2018,0.93663
Lithuania,LTU,2019,0.99468
Lithuania,LTU,2020,1.15528
Lower-middle-income countries,,2017,0.5336622
Luxembourg,LUX,2015,1.25226
Luxembourg,LUX,2016,1.2669
Luxembourg,LUX,2017,1.23898
Luxembourg,LUX,2018,1.16712
Luxembourg,LUX,2019,1.17664
Luxembourg,LUX,2020,1.1286
Macao,MAC,2015,0.13649
Macao,MAC,2016,0.23492
Macao,MAC,2017,0.1719
Macao,MAC,2018,0.20079
Macao,MAC,2019,0.24666
Macao,MAC,2020,0.44897
Madagascar,MDG,2016,0.01264
Madagascar,MDG,2017,0.01275
Malaysia,MYS,2015,1.27945
Malaysia,MYS,2016,1.41517
Malaysia,MYS,2018,1.04026
Mali,MLI,2015,0.31462
Mali,MLI,2017,0.29198
Mali,MLI,2019,0.15768
Malta,MLT,2015,0.71515
Malta,MLT,2016,0.55436
Malta,MLT,2017,0.56332
Malta,MLT,2018,0.59286
Malta,MLT,2019,0.58894
Malta,MLT,2020,0.67989
Mauritania,MRT,2018,0.01036
Mauritius,MUS,2017,0.36636
Mauritius,MUS,2018,0.34691
Mauritius,MUS,2019,0.36692
Mauritius,MUS,2020,0.42098
Mexico,MEX,2015,0.42943
Mexico,MEX,2016,0.38778
Mexico,MEX,2017,0.32832
Mexico,MEX,2018,0.30711
Mexico,MEX,2019,0.28384
Mexico,MEX,2020,0.30096
Middle East and North Africa (WB),,2020,1.5990223
Middle-income countries,,2015,1.363875
Middle-income countries,,2016,1.391911
Middle-income countries,,2017,1.3495259
Middle-income countries,,2018,1.4162576
Middle-income countries,,2019,1.5633827
Middle-income countries,,2020,1.8643937
Moldova,MDA,2015,0.30943
Moldova,MDA,2016,0.2769
Moldova,MDA,2017,0.25374
Moldova,MDA,2018,0.25168
Moldova,MDA,2019,0.23672
Moldova,MDA,2020,0.22754
Mongolia,MNG,2015,0.1564
Mongolia,MNG,2016,0.18345
Mongolia,MNG,2017,0.1342
Mongolia,MNG,2018,0.10161
Mongolia,MNG,2019,0.0927
Mongolia,MNG,2020,0.13301
Montenegro,MNE,2015,0.374
Montenegro,MNE,2016,0.32454
Montenegro,MNE,2017,0.34898
Montenegro,MNE,2018,0.50374
Montenegro,MNE,2019,0.36328
Mozambique,MOZ,2015,0.31312
Myanmar,MMR,2017,0.03484
Myanmar,MMR,2018,0.06354
Myanmar,MMR,2019,0.08926
Myanmar,MMR,2020,0.14725
Netherlands,NLD,2015,2.14606
Netherlands,NLD,2016,2.15081
Netherlands,NLD,2017,2.17857
Netherlands,NLD,2018,2.1388
Netherlands,NLD,2019,2.18435
Netherlands,NLD,2020,2.29423
New Zealand,NZL,2015,1.22817
New Zealand,NZL,2017,1.34654
New Zealand,NZL,2019,1.40774
Nicaragua,NIC,2015,0.10742
North America (WB),,2015,2.6954618
North America (WB),,2016,2.7614439
North America (WB),,2017,2.8012667
North America (WB),,2018,2.8975074
North America (WB),,2019,3.0465813
North America (WB),,2020,3.3222525
North Macedonia,MKD,2015,0.44412
North Macedonia,MKD,2016,0.43585
North Macedonia,MKD,2017,0.35439
North Macedonia,MKD,2018,0.36367
North Macedonia,MKD,2019,0.36783
North Macedonia,MKD,2020,0.3756
Norway,NOR,2015,1.93526
Norway,NOR,2016,2.0446
Norway,NOR,2017,2.09919
Norway,NOR,2018,2.04781
Norway,NOR,2019,2.15302
Norway,NOR,2020,2.27601
Oman,OMN,2015,0.25155
Oman,OMN,2016,0.2605
Oman,OMN,2017,0.22824
Oman,OMN,2018,0.21825
Oman,OMN,2019,0.31444
Oman,OMN,2020,0.37103
Pakistan,PAK,2015,0.24605
Pakistan,PAK,2017,0.23627
Pakistan,PAK,2019,0.20096
Panama,PAN,2015,0.12033
Panama,PAN,2016,0.14494
Panama,PAN,2017,0.14718
Papua New Guinea,PNG,2016,0.03158
Paraguay,PRY,2015,0.09674
Paraguay,PRY,2016,0.11676
Paraguay,PRY,2017,0.14888
Paraguay,PRY,2018,0.14684
Paraguay,PRY,2019,0.13758
Peru,PER,2015,0.11702
Peru,PER,2016,0.12008
Peru,PER,2017,0.12085
Peru,PER,2018,0.12685
Peru,PER,2019,0.15686
Peru,PER,2020,0.17167
Philippines,PHL,2015,0.15683
Philippines,PHL,2018,0.32222
Poland,POL,2015,1.00275
Poland,POL,2016,0.96287
Poland,POL,2017,1.03418
Poland,POL,2018,1.20891
Poland,POL,2019,1.32064
Poland,POL,2020,1.39205
Portugal,PRT,2015,1.2433
Portugal,PRT,2016,1.28075
Portugal,PRT,2017,1.31928
Portugal,PRT,2018,1.34955
Portugal,PRT,2019,1.39562
Portugal,PRT,2020,1.6174
Puerto Rico,PRI,2015,0.42883
Qatar,QAT,2015,0.51883
Qatar,QAT,2018,0.53129
Romania,ROU,2015,0.48838
Romania,ROU,2016,0.48126
Romania,ROU,2017,0.50322
Romania,ROU,2018,0.50112
Romania,ROU,2019,0.47832
Romania,ROU,2020,0.47033
Russia,RUS,2015,1.10085
Russia,RUS,2016,1.10238
Russia,RUS,2017,1.10967
Russia,RUS,2018,0.99002
Russia,RUS,2019,1.03879
Russia,RUS,2020,1.09803
Rwanda,RWA,2016,0.64981
Rwanda,RWA,2019,0.75795
Saudi Arabia,SAU,2020,0.52232
Senegal,SEN,2015,0.5772
Serbia,SRB,2015,0.8109
Serbia,SRB,2016,0.83822
Serbia,SRB,2017,0.87238
Serbia,SRB,2018,0.91891
Serbia,SRB,2019,0.88667
Serbia,SRB,2020,0.90595
Seychelles,SYC,2016,0.22175
Singapore,SGP,2015,2.17445
Singapore,SGP,2016,2.07471
Singapore,SGP,2017,1.89872
Singapore,SGP,2018,1.81391
Singapore,SGP,2019,1.89064
Slovakia,SVK,2015,1.16071
Slovakia,SVK,2016,0.79102
Slovakia,SVK,2017,0.88694
Slovakia,SVK,2018,0.8397
Slovakia,SVK,2019,0.82574
Slovakia,SVK,2020,0.91109
Slovenia,SVN,2015,2.19565
Slovenia,SVN,2016,2.00764
Slovenia,SVN,2017,1.8653
Slovenia,SVN,2018,1.94645
Slovenia,SVN,2019,2.04704
Slovenia,SVN,2020,2.14735
South Africa,ZAF,2015,0.73147
South Africa,ZAF,2016,0.74992
South Africa,ZAF,2017,0.76257
South Africa,ZAF,2018,0.68657
South Africa,ZAF,2019,0.61525
South Asia (WB),,2015,0.62368643
South Asia (WB),,2016,0.6498463
South Asia (WB),,2017,0.6023054
South Asia (WB),,2018,0.637916
South Korea,KOR,2015,3.9782
South Korea,KOR,2016,3.98704
South Korea,KOR,2017,4.29206
South Korea,KOR,2018,4.51633
South Korea,KOR,2019,4.62703
South Korea,KOR,2020,4.8145
Spain,ESP,2015,1.22236
Spain,ESP,2016,1.19048
Spain,ESP,2017,1.21042
Spain,ESP,2018,1.24213
Spain,ESP,2019,1.25139
Spain,ESP,2020,1.40541
Sri Lanka,LKA,2015,0.10871
Sri Lanka,LKA,2016,0.12854
Sri Lanka,LKA,2017,0.12758
Sri Lanka,LKA,2018,0.12836
Sweden,SWE,2015,3.21903
Sweden,SWE,2016,3.24736
Sweden,SWE,2017,3.36279
Sweden,SWE,2018,3.32106
Sweden,SWE,2019,3.38758
Sweden,SWE,2020,3.52722
Switzerland,CHE,2015,3.04311
Switzerland,CHE,2017,3.03413
Switzerland,CHE,2019,3.14686
Syria,SYR,2015,0.01963
Tajikistan,TJK,2015,0.1034
Tajikistan,TJK,2016,0.10622
Tajikistan,TJK,2017,0.10957
Tajikistan,TJK,2018,0.09401
Tajikistan,TJK,2019,0.09367
Tajikistan,TJK,2020,0.08903
Thailand,THA,2015,0.61609
Thailand,THA,2016,0.77829
Thailand,THA,2017,1.00166
Thailand,THA,2018,1.11406
Thailand,THA,2019,1.14257
Trinidad and Tobago,TTO,2015,0.08658
Trinidad and Tobago,TTO,2016,0.09141
Trinidad and Tobago,TTO,2017,0.09149
Trinidad and Tobago,TTO,2018,0.08445
Trinidad and Tobago,TTO,2019,0.06106
Tunisia,TUN,2015,0.59413
Tunisia,TUN,2016,0.56538
Tunisia,TUN,2017,0.69954
Tunisia,TUN,2018,0.7184
Tunisia,TUN,2019,0.74839
Turkey,TUR,2015,0.87689
Turkey,TUR,2016,0.93816
Turkey,TUR,2017,0.95272
Turkey,TUR,2018,1.02517
Turkey,TUR,2019,1.06429
Turkey,TUR,2020,1.08893
Ukraine,UKR,2015,0.61477
Ukraine,UKR,2016,0.48339
Ukraine,UKR,2017,0.44879
Ukraine,UKR,2018,0.47113
Ukraine,UKR,2019,0.43384
Ukraine,UKR,2020,0.40608
United Arab Emirates,ARE,2015,0.89504
United Arab Emirates,ARE,2016,0.96366
United Arab Emirates,ARE,2018,1.27836
United Arab Emirates,ARE,2019,1.31308
United Arab Emirates,ARE,2020,1.44934
United Kingdom,GBR,2015,1.63424
United Kingdom,GBR,2016,1.64281
United Kingdom,GBR,2017,1.65981
United Kingdom,GBR,2018,1.70494
United Kingdom,GBR,2019,1.70799
United States,USA,2015,2.78206
United States,USA,2016,2.84585
United States,USA,2017,2.89572
United States,USA,2018,3.00082
United States,USA,2019,3.16609
United States,USA,2020,3.45018
Upper-middle-income countries,,2015,1.5387706
Upper-middle-income countries,,2016,1.575104
Upper-middle-income countries,,2017,1.5694333
Upper-middle-income countries,,2018,1.6074606
Upper-middle-income countries,,2019,1.7004377
Upper-middle-income countries,,2020,1.9956479
Uruguay,URY,2015,0.36446
Uruguay,URY,2016,0.37598
Uruguay,URY,2017,0.44849
Uruguay,URY,2018,0.38673
Uruguay,URY,2019,0.48302
Uzbekistan,UZB,2015,0.16497
Uzbekistan,UZB,2016,0.17238
Uzbekistan,UZB,2017,0.14834
Uzbekistan,UZB,2018,0.1245
Uzbekistan,UZB,2019,0.11377
Uzbekistan,UZB,2020,0.13918
Vietnam,VNM,2015,0.44113
Vietnam,VNM,2017,0.52674
Vietnam,VNM,2019,0.53172
World,OWID_WRL,2015,2.0950832
World,OWID_WRL,2016,2.1378517
World,OWID_WRL,2017,2.1336324
World,OWID_WRL,2018,2.196267
World,OWID_WRL,2019,2.3323271
World,OWID_WRL,2020,2.628466
