Entity,Code,Year,Research and development expenditure (% of GDP),2016,2017,2018,2019,2020,2021,2022,2023
Argentina,ARG,2015,0.62262,314,290,310,298,302,359,322,390
Argentina,ARG,2016,0.55815,314,290,310,298,302,359,322,390
Argentina,ARG,2017,0.55631,314,290,310,298,302,359,322,390
Argentina,ARG,2018,0.49435,314,290,310,298,302,359,322,390
Argentina,ARG,2019,0.45713,314,290,310,298,302,359,322,390
Australia,AUS,2015,1.92083,2476,2529,2440,2833,2999,3156,3073,3510
Australia,AUS,2017,1.87926,2476,2529,2440,2833,2999,3156,3073,3510
Australia,AUS,2019,1.82928,2476,2529,2440,2833,2999,3156,3073,3510
Austria,AUT,2015,3.04969,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2016,3.11655,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2017,3.05656,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2018,3.09058,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2019,3.12972,901,1048,1030,1097,1137,1147,1244,1350
Austria,AUT,2020,3.20128,901,1048,1030,1097,1137,1147,1244,1350
Belgium,BEL,2015,2.42817,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2016,2.52338,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2017,2.66666,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2018,2.86031,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2019,3.16,1057,1112,1114,1190,1180,1290,1200,1494
Belgium,BEL,2020,3.4772,1057,1112,1114,1190,1180,1290,1200,1494
Brazil,BRA,2015,1.37093,753,814,863,951,857,887,928,1051
Brazil,BRA,2016,1.28637,753,814,863,951,857,887,928,1051
Brazil,BRA,2017,1.1175,753,814,863,951,857,887,928,1051
Brazil,BRA,2018,1.16769,753,814,863,951,857,887,928,1051
Brazil,BRA,2019,1.20803,753,814,863,951,857,887,928,1051
Canada,CAN,2015,1.69324,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2016,1.72873,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2017,1.6858,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2018,1.67917,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2019,1.59163,3268,3032,3130,3326,3414,3591,3519,4200
Canada,CAN,2020,1.69781,3268,3032,3130,3326,3414,3591,3519,4200
Chile,CHL,2015,0.38073,382,354,371,404,440,461,452,453
Chile,CHL,2016,0.36934,382,354,371,404,440,461,452,453
Chile,CHL,2017,0.35593,382,354,371,404,440,461,452,453
Chile,CHL,2018,0.36647,382,354,371,404,440,461,452,453
Chile,CHL,2019,0.34095,382,354,371,404,440,461,452,453
China,CHN,2015,2.05701,10692,11195,12845,15612,18043,19096,21414,24536
China,CHN,2016,2.10033,10692,11195,12845,15612,18043,19096,21414,24536
China,CHN,2017,2.11603,10692,11195,12845,15612,18043,19096,21414,24536
China,CHN,2018,2.14058,10692,11195,12845,15612,18043,19096,21414,24536
China,CHN,2019,2.24463,10692,11195,12845,15612,18043,19096,21414,24536
China,CHN,2020,2.40093,10692,11195,12845,15612,18043,19096,21414,24536
Colombia,COL,2015,0.36542,231,240,270,287,272,233,241,246
Colombia,COL,2016,0.27051,231,240,270,287,272,233,241,246
Colombia,COL,2017,0.26109,231,240,270,287,272,233,241,246
Colombia,COL,2018,0.31233,231,240,270,287,272,233,241,246
Colombia,COL,2019,0.32169,231,240,270,287,272,233,241,246
Colombia,COL,2020,0.28812,231,240,270,287,272,233,241,246
Czec Republic,CZE,2015,1.91689,,,,,,,,
Czech Republic,CZE,2016,1.67003,573,568,638,714,723,729,756,780
Czech Republic,CZE,2017,1.76855,573,568,638,714,723,729,756,780
Czech Republic,CZE,2018,1.89945,573,568,638,714,723,729,756,780
Czech Republic,CZE,2019,1.92773,573,568,638,714,723,729,756,780
Czech Republic,CZE,2020,1.99104,573,568,638,714,723,729,756,780
Democratic Republic of Congo,COD,2015,0.40638,,,,,,,,
Denmark,DNK,2015,3.05497,1050,1048,1054,1154,1152,1262,1309,1627
Denmark,DNK,2016,3.09283,1050,1048,1054,1154,1152,1262,1309,1627
Denmark,DNK,2017,2.93124,1050,1048,1054,1154,1152,1262,1309,1627
Denmark,DNK,2018,2.96603,1050,1048,1054,1154,1152,1262,1309,1627
Denmark,DNK,2019,2.888,1050,1048,1054,1154,1152,1262,1309,1627
Denmark,DNK,2020,2.96154,1050,1048,1054,1154,1152,1262,1309,1627
Finland,FIN,2015,2.87196,649,626,617,738,738,729,757,944
Finland,FIN,2016,2.72442,649,626,617,738,738,729,757,944
Finland,FIN,2017,2.72787,649,626,617,738,738,729,757,944
Finland,FIN,2018,2.75742,649,626,617,738,738,729,757,944
Finland,FIN,2019,2.79683,649,626,617,738,738,729,757,944
Finland,FIN,2020,2.93544,649,626,617,738,738,729,757,944
France,FRA,2015,2.22702,4857,4850,4744,4922,5078,5114,4935,5397
France,FRA,2016,2.22238,4857,4850,4744,4922,5078,5114,4935,5397
France,FRA,2017,2.19888,4857,4850,4744,4922,5078,5114,4935,5397
France,FRA,2018,2.19666,4857,4850,4744,4922,5078,5114,4935,5397
France,FRA,2019,2.19179,4857,4850,4744,4922,5078,5114,4935,5397
France,FRA,2020,2.35493,4857,4850,4744,4922,5078,5114,4935,5397
Gambia,GMB,2018,0.06933,,,,,,,,
Georgia,GEO,2015,0.29928,,,,,,,,
Georgia,GEO,2016,0.28586,,,,,,,,
Georgia,GEO,2017,0.27023,,,,,,,,
Georgia,GEO,2018,0.28052,,,,,,,,
Georgia,GEO,2019,0.28468,,,,,,,,
Georgia,GEO,2020,0.3008,,,,,,,,
Germany,DEU,2015,2.93379,8301,8291,8212,8819,8801,9322,9447,9409
Germany,DEU,2016,2.94039,8301,8291,8212,8819,8801,9322,9447,9409
Germany,DEU,2017,3.0471,8301,8291,8212,8819,8801,9322,9447,9409
Germany,DEU,2018,3.10788,8301,8291,8212,8819,8801,9322,9447,9409
Germany,DEU,2019,3.1677,8301,8291,8212,8819,8801,9322,9447,9409
Germany,DEU,2020,3.14426,8301,8291,8212,8819,8801,9322,9447,9409
Greece,GRC,2015,0.96605,408,389,398,432,423,386,402,512
Greece,GRC,2016,1.00529,408,389,398,432,423,386,402,512
Greece,GRC,2017,1.15228,408,389,398,432,423,386,402,512
Greece,GRC,2018,1.21371,408,389,398,432,423,386,402,512
Greece,GRC,2019,1.27566,408,389,398,432,423,386,402,512
Greece,GRC,2020,1.4961,408,389,398,432,423,386,402,512
Hungary,HUN,2015,1.3392,341,323,340,392,376,407,409,418
Hungary,HUN,2016,1.17963,341,323,340,392,376,407,409,418
Hungary,HUN,2017,1.3168,341,323,340,392,376,407,409,418
Hungary,HUN,2018,1.50755,341,323,340,392,376,407,409,418
Hungary,HUN,2019,1.47736,341,323,340,392,376,407,409,418
Hungary,HUN,2020,1.60766,341,323,340,392,376,407,409,418
Iceland,ISL,2015,2.18139,78,98,107,103,115,98,90,124
Iceland,ISL,2016,2.1098,78,98,107,103,115,98,90,124
Iceland,ISL,2017,2.08412,78,98,107,103,115,98,90,124
Iceland,ISL,2018,2.0002,78,98,107,103,115,98,90,124
Iceland,ISL,2019,2.3233,78,98,107,103,115,98,90,124
Iceland,ISL,2020,2.47176,78,98,107,103,115,98,90,124
India,IND,2015,0.6931,1410,1337,1467,1515,1656,1655,1910,2012
India,IND,2016,0.66984,1410,1337,1467,1515,1656,1655,1910,2012
India,IND,2017,0.66603,1410,1337,1467,1515,1656,1655,1910,2012
India,IND,2018,0.65573,1410,1337,1467,1515,1656,1655,1910,2012
Iran,IRN,2015,0.41763,161,209,243,310,293,266,271,290
Iran,IRN,2017,0.83027,161,209,243,310,293,266,271,290
Iran,IRN,2019,0.88359,161,209,243,310,293,266,271,290
Ireland,IRL,2015,1.18291,434,426,471,481,450,492,425,531
Ireland,IRL,2016,1.17571,434,426,471,481,450,492,425,531
Ireland,IRL,2017,1.2554,434,426,471,481,450,492,425,531
Ireland,IRL,2018,1.1693,434,426,471,481,450,492,425,531
Ireland,IRL,2019,1.22589,434,426,471,481,450,492,425,531
Ireland,IRL,2020,1.23233,434,426,471,481,450,492,425,531
Israel,ISR,2015,4.26148,1187,1122,1199,1233,1292,1288,1347,1393
Israel,ISR,2016,4.51087,1187,1122,1199,1233,1292,1288,1347,1393
Israel,ISR,2017,4.65676,1187,1122,1199,1233,1292,1288,1347,1393
Israel,ISR,2018,4.79662,1187,1122,1199,1233,1292,1288,1347,1393
Israel,ISR,2019,5.13983,1187,1122,1199,1233,1292,1288,1347,1393
Israel,ISR,2020,5.43562,1187,1122,1199,1233,1292,1288,1347,1393
Italy,ITA,2015,1.3385,2632,2479,2552,2677,2657,2896,2985,3429
Italy,ITA,2016,1.36642,2632,2479,2552,2677,2657,2896,2985,3429
Italy,ITA,2017,1.37013,2632,2479,2552,2677,2657,2896,2985,3429
Italy,ITA,2018,1.42443,2632,2479,2552,2677,2657,2896,2985,3429
Italy,ITA,2019,1.46299,2632,2479,2552,2677,2657,2896,2985,3429
Italy,ITA,2020,1.53391,2632,2479,2552,2677,2657,2896,2985,3429
Japan,JPN,2015,3.24071,5063,4804,4782,4935,4914,5291,5196,5044
Japan,JPN,2016,3.10666,5063,4804,4782,4935,4914,5291,5196,5044
Japan,JPN,2017,3.16636,5063,4804,4782,4935,4914,5291,5196,5044
Japan,JPN,2018,3.22175,5063,4804,4782,4935,4914,5291,5196,5044
Japan,JPN,2019,3.19899,5063,4804,4782,4935,4914,5291,5196,5044
Japan,JPN,2020,3.26317,5063,4804,4782,4935,4914,5291,5196,5044
Mexico,MEX,2015,0.42943,293,313,350,395,380,407,428,393
Mexico,MEX,2016,0.38778,293,313,350,395,380,407,428,393
Mexico,MEX,2017,0.32832,293,313,350,395,380,407,428,393
Mexico,MEX,2018,0.30711,293,313,350,395,380,407,428,393
Mexico,MEX,2019,0.28384,293,313,350,395,380,407,428,393
Mexico,MEX,2020,0.30096,293,313,350,395,380,407,428,393
Netherlands,NLD,2015,2.14606,2118,2219,2232,2320,2411,2549,2446,3011
Netherlands,NLD,2016,2.15081,2118,2219,2232,2320,2411,2549,2446,3011
Netherlands,NLD,2017,2.17857,2118,2219,2232,2320,2411,2549,2446,3011
Netherlands,NLD,2018,2.1388,2118,2219,2232,2320,2411,2549,2446,3011
Netherlands,NLD,2019,2.18435,2118,2219,2232,2320,2411,2549,2446,3011
Netherlands,NLD,2020,2.29423,2118,2219,2232,2320,2411,2549,2446,3011
New Zealand,NZL,2015,1.22817,352,358,391,435,444,438,387,527
New Zealand,NZL,2017,1.34654,352,358,391,435,444,438,387,527
New Zealand,NZL,2019,1.40774,352,358,391,435,444,438,387,527
Norway,NOR,2015,1.93526,564,595,653,686,737,799,750,857
Norway,NOR,2016,2.0446,564,595,653,686,737,799,750,857
Norway,NOR,2017,2.09919,564,595,653,686,737,799,750,857
Norway,NOR,2018,2.04781,564,595,653,686,737,799,750,857
Norway,NOR,2019,2.15302,564,595,653,686,737,799,750,857
Norway,NOR,2020,2.27601,564,595,653,686,737,799,750,857
Poland,POL,2015,1.00275,768,748,813,856,828,917,895,1041
Poland,POL,2016,0.96287,768,748,813,856,828,917,895,1041
Poland,POL,2017,1.03418,768,748,813,856,828,917,895,1041
Poland,POL,2018,1.20891,768,748,813,856,828,917,895,1041
Poland,POL,2019,1.32064,768,748,813,856,828,917,895,1041
Poland,POL,2020,1.39205,768,748,813,856,828,917,895,1041
Portugal,PRT,2015,1.2433,497,500,534,643,558,568,578,592
Portugal,PRT,2016,1.28075,497,500,534,643,558,568,578,592
Portugal,PRT,2017,1.31928,497,500,534,643,558,568,578,592
Portugal,PRT,2018,1.34955,497,500,534,643,558,568,578,592
Portugal,PRT,2019,1.39562,497,500,534,643,558,568,578,592
Portugal,PRT,2020,1.6174,497,500,534,643,558,568,578,592
Romania,ROU,2015,0.48838,212,216,235,217,213,209,211,226
Romania,ROU,2016,0.48126,212,216,235,217,213,209,211,226
Romania,ROU,2017,0.50322,212,216,235,217,213,209,211,226
Romania,ROU,2018,0.50112,212,216,235,217,213,209,211,226
Romania,ROU,2019,0.47832,212,216,235,217,213,209,211,226
Romania,ROU,2020,0.47033,212,216,235,217,213,209,211,226
Russia,RUS,2015,1.10085,1151,1244,1300,1452,1419,1455,1522,1260
Russia,RUS,2016,1.10238,1151,1244,1300,1452,1419,1455,1522,1260
Russia,RUS,2017,1.10967,1151,1244,1300,1452,1419,1455,1522,1260
Russia,RUS,2018,0.99002,1151,1244,1300,1452,1419,1455,1522,1260
Russia,RUS,2019,1.03879,1151,1244,1300,1452,1419,1455,1522,1260
Russia,RUS,2020,1.09803,1151,1244,1300,1452,1419,1455,1522,1260
Saudi Arabia,SAU,2020,0.52232,546,514,465,497,452,436,448,451
Singapore,SGP,2015,2.17445,1105,1061,1136,1204,1254,1293,1336,1366
Singapore,SGP,2016,2.07471,1105,1061,1136,1204,1254,1293,1336,1366
Singapore,SGP,2017,1.89872,1105,1061,1136,1204,1254,1293,1336,1366
Singapore,SGP,2018,1.81391,1105,1061,1136,1204,1254,1293,1336,1366
Singapore,SGP,2019,1.89064,1105,1061,1136,1204,1254,1293,1336,1366
Slovenia,SVN,2015,2.19565,214,182,179,190,184,199,209,189
Slovenia,SVN,2016,2.00764,214,182,179,190,184,199,209,189
Slovenia,SVN,2017,1.8653,214,182,179,190,184,199,209,189
Slovenia,SVN,2018,1.94645,214,182,179,190,184,199,209,189
Slovenia,SVN,2019,2.04704,214,182,179,190,184,199,209,189
Slovenia,SVN,2020,2.14735,214,182,179,190,184,199,209,189
South Africa,ZAF,2015,0.73147,332,307,353,357,405,395,432,562
South Africa,ZAF,2016,0.74992,332,307,353,357,405,395,432,562
South Africa,ZAF,2017,0.76257,332,307,353,357,405,395,432,562
South Africa,ZAF,2018,0.68657,332,307,353,357,405,395,432,562
South Africa,ZAF,2019,0.61525,332,307,353,357,405,395,432,562
South Korea,KOR,2015,3.9782,2244,2151,2129,2291,2422,2536,2606,2675
South Korea,KOR,2016,3.98704,2244,2151,2129,2291,2422,2536,2606,2675
South Korea,KOR,2017,4.29206,2244,2151,2129,2291,2422,2536,2606,2675
South Korea,KOR,2018,4.51633,2244,2151,2129,2291,2422,2536,2606,2675
South Korea,KOR,2019,4.62703,2244,2151,2129,2291,2422,2536,2606,2675
South Korea,KOR,2020,4.8145,2244,2151,2129,2291,2422,2536,2606,2675
Spain,ESP,2015,1.22236,2642,2626,2516,2738,2786,2961,2858,3330
Spain,ESP,2016,1.19048,2642,2626,2516,2738,2786,2961,2858,3330
Spain,ESP,2017,1.21042,2642,2626,2516,2738,2786,2961,2858,3330
Spain,ESP,2018,1.24213,2642,2626,2516,2738,2786,2961,2858,3330
Spain,ESP,2019,1.25139,2642,2626,2516,2738,2786,2961,2858,3330
Spain,ESP,2020,1.40541,2642,2626,2516,2738,2786,2961,2858,3330
Sweden,SWE,2015,3.21903,1578,1610,1650,1732,1843,1927,2004,2371
Sweden,SWE,2016,3.24736,1578,1610,1650,1732,1843,1927,2004,2371
Sweden,SWE,2017,3.36279,1578,1610,1650,1732,1843,1927,2004,2371
Sweden,SWE,2018,3.32106,1578,1610,1650,1732,1843,1927,2004,2371
Sweden,SWE,2019,3.38758,1578,1610,1650,1732,1843,1927,2004,2371
Sweden,SWE,2020,3.52722,1578,1610,1650,1732,1843,1927,2004,2371
Switzerland,CHE,2015,3.04311,2950,2931,3059,3261,3282,3305,3385,3547
Switzerland,CHE,2017,3.03413,2950,2931,3059,3261,3282,3305,3385,3547
Switzerland,CHE,2019,3.14686,2950,2931,3059,3261,3282,3305,3385,3547
Thailand,THA,2015,0.61609,165,165,223,241,254,224,277,349
Thailand,THA,2016,0.77829,165,165,223,241,254,224,277,349
Thailand,THA,2017,1.00166,165,165,223,241,254,224,277,349
Thailand,THA,2018,1.11406,165,165,223,241,254,224,277,349
Thailand,THA,2019,1.14257,165,165,223,241,254,224,277,349
Turkey,TUR,2015,0.87689,357,336,327,382,375,359,387,467
Turkey,TUR,2016,0.93816,357,336,327,382,375,359,387,467
Turkey,TUR,2017,0.95272,357,336,327,382,375,359,387,467
Turkey,TUR,2018,1.02517,357,336,327,382,375,359,387,467
Turkey,TUR,2019,1.06429,357,336,327,382,375,359,387,467
Turkey,TUR,2020,1.08893,357,336,327,382,375,359,387,467
United Kingdom,GBR,2015,1.63424,7344,7296,7330,7683,7857,8221,8129,9057
United Kingdom,GBR,2016,1.64281,7344,7296,7330,7683,7857,8221,8129,9057
United Kingdom,GBR,2017,1.65981,7344,7296,7330,7683,7857,8221,8129,9057
United Kingdom,GBR,2018,1.70494,7344,7296,7330,7683,7857,8221,8129,9057
United Kingdom,GBR,2019,1.70799,7344,7296,7330,7683,7857,8221,8129,9057
United States,USA,2015,2.78206,27562,26921,27350,28442,28449,29170,28205,30503
United States,USA,2016,2.84585,27562,26921,27350,28442,28449,29170,28205,30503
United States,USA,2017,2.89572,27562,26921,27350,28442,28449,29170,28205,30503
United States,USA,2018,3.00082,27562,26921,27350,28442,28449,29170,28205,30503
United States,USA,2019,3.16609,27562,26921,27350,28442,28449,29170,28205,30503
United States,USA,2020,3.45018,27562,26921,27350,28442,28449,29170,28205,30503