Pais,Year,Value
Albania,2016,427.2249830591296
Albania,2018,416.7262575801223
Albania,2022,375.9677509261673
Algeria,2016,375.7451019544689
Argentina,2016,475.1865978922587
Argentina,2018,404.0714448216926
Argentina,2022,406.1913407059603
Australia,2016,509.9938540723134
Australia,2018,502.9645628824383
Australia,2022,507.0008693485718
Austria,2016,495.037486449348
Austria,2018,489.7804395314086
Austria,2022,491.270958720107
Baku (Azerbaijan),2018,397.6495810748745
Baku (Azerbaijan),2022,380.1436874924235
Belarus,2018,471.2636807934516
Belgium,2016,501.9997139990498
Belgium,2018,498.7731272392197
Belgium,2022,490.5783460591945
Bosnia and Herzegovina,2018,398.4976626990984
Brazil,2016,400.6821027480764
Brazil,2018,403.6209420392406
Brazil,2022,403.0012136364664
Brunei Darussalam,2018,430.9843766166588
Brunei Darussalam,2022,445.8551163421901
Bulgaria,2016,445.7719567958364
Bulgaria,2018,424.0735828752181
Bulgaria,2022,420.9932194994947
Cambodia,2022,347.1041621496973
Canada,2016,527.7046841380487
Canada,2018,517.9976607556696
Canada,2022,515.0166759982307
Chile,2016,446.9560662746412
Chile,2018,443.5825633876655
Chile,2022,443.5434024052522
China,2016,517.7792812731399
China,2018,590.4526400807878
Colombia,2016,415.7287605666218
Colombia,2018,413.3229929738771
Colombia,2022,411.1206732476464
Costa Rica,2016,419.6080320166782
Costa Rica,2018,415.622462110576
Costa Rica,2022,410.9866236658263
Croatia,2016,475.3911762969739
Croatia,2018,472.3626195729772
Croatia,2022,482.6674492104965
Cyprus,2016,432.5767693210705
Cyprus,2018,439.0082497979065
Cyprus,2022,410.9025172747924
Czech Republic,2016,492.8300491995716
Czech Republic,2018,496.7913106562312
Czech Republic,2022,497.7420469634635
Denmark,2016,501.9368884787613
Denmark,2018,492.6370333509744
Denmark,2022,493.8157116967911
Dominican Republic,2016,331.6388267532403
Dominican Republic,2018,335.6299465577193
Dominican Republic,2022,360.426059741043
El Salvador,2022,373.1413144308304
Estonia,2016,534.1937458156293
Estonia,2018,530.1080046217434
Estonia,2022,525.8117784943655
European Union,2016,494.8012907407006
FYROM,2016,383.6823826346873
Finland,2016,530.6611598757611
Finland,2018,521.8845631435396
Finland,2022,510.9588505290924
France,2016,494.9775999510607
France,2018,492.9770760583545
France,2022,487.2252787111397
Georgia,2016,411.1315221898473
Georgia,2018,382.6636063519122
Georgia,2022,384.0674591753807
Germany,2016,509.1406471204898
Germany,2018,502.9889028234998
Germany,2022,492.4267295061775
Greece,2016,454.8288170446995
Greece,2018,451.6327416466293
Greece,2022,440.7860604735595
Guatemala,2022,372.9627538384929
Hong Kong,2016,523.277447488314
Hong Kong,2018,516.6861295472213
Hong Kong,2022,520.4186794997768
Hungary,2016,476.7475117687921
Hungary,2018,480.9116938822861
Hungary,2022,485.8901585000138
Iceland,2016,473.2300910845986
Iceland,2018,475.024106333758
Iceland,2022,446.9267951053713
Indonesia,2016,403.0997449893155
Indonesia,2018,396.0700546506014
Indonesia,2022,382.8634128121291
Ireland,2016,502.5751154349157
Ireland,2018,496.1135618725837
Ireland,2022,503.8455371609127
Israel,2016,466.5528134249378
Israel,2018,462.1966327537334
Israel,2022,464.7518251675385
Italy,2016,480.5467625951738
Italy,2018,468.0117278915128
Italy,2022,477.4633659372428
Jamaica,2022,402.9339615638788
Japan,2016,538.3947509922897
Japan,2018,529.1354337708215
Japan,2022,546.6344535500577
Jordan,2016,408.669113991697
Jordan,2018,429.2520737336757
Jordan,2022,374.5270869389209
Kazakhstan,2016,456.4835764853677
Kazakhstan,2018,397.1048352810346
Kazakhstan,2022,423.1660456580578
Korea,2016,515.8099102145935
Korea,2022,527.8224182708128
Kosovo,2016,378.4421845384999
Kosovo,2018,364.8824077379585
Kosovo,2022,357.0240515732677
Latvia,2016,490.2250207736262
Latvia,2018,487.250588357622
Latvia,2022,493.8427670445007
Lebanon,2016,386.4853719786999
Lebanon,2018,383.7169937100904
Lithuania,2016,475.4089487142708
Lithuania,2018,482.0670125704612
Lithuania,2022,484.4634057501144
Luxembourg,2016,482.8063730838606
Luxembourg,2018,476.7694062088251
Macao,2016,528.5496048378569
Macao,2018,543.5857337239511
Macao,2022,543.0962811931972
Malaysia,2016,442.9475212213797
Malaysia,2018,437.6180736715601
Malaysia,2022,416.3061157824866
Malta,2016,464.7819350473143
Malta,2018,456.5903227817988
Malta,2022,465.5887385990138
Mexico,2016,415.7098833175696
Mexico,2018,419.2047195824844
Mexico,2022,409.8865982623363
Moldova,2016,427.9978034935451
Moldova,2018,428.485266806617
Moldova,2022,416.8589750710623
Mongolia,2022,412.3825368341425
Montenegro,2016,411.3136487270099
Montenegro,2018,415.1722311562716
Montenegro,2022,403.1302422039122
Morocco,2018,376.5968892649747
Morocco,2022,365.3980757846213
Netherlands,2016,508.5748060921999
Netherlands,2018,503.3838197500072
Netherlands,2022,488.3168361619046
New Zealand,2016,513.3035121799054
New Zealand,2018,508.4907214228428
New Zealand,2022,504.1293047861225
North Macedonia,2018,413.0446736320736
North Macedonia,2022,379.8751061574653
Norway,2016,498.4811094191953
Norway,2018,490.4131492726075
Norway,2022,478.2264648831801
OECD average,2016,493.2017129961685
OECD average,2022,484.6455247887445
OECD total,2016,487.9851124698762
Palestinian Authority,2022,368.8150946174147
Panama,2018,364.6237724855321
Panama,2022,387.7676243349397
Paraguay,2022,368.3278246473302
Peru,2016,396.6836490562873
Peru,2018,404.2156013301964
Peru,2022,407.7777609863706
Philippines,2018,356.9333236192556
Philippines,2022,356.1672931295155
Poland,2016,501.4353319044914
Poland,2018,511.0355617941691
Poland,2022,499.1643620798552
Portugal,2016,501.1000608662571
Portugal,2018,491.6773285156142
Portugal,2022,484.3734641218211
Qatar,2016,417.6111586461755
Qatar,2018,419.1271548832494
Qatar,2022,432.4025147198772
Romania,2016,434.884862020401
Romania,2018,425.7612270851724
Romania,2022,427.5111075386248
Russia,2016,486.6310409442094
Russia,2018,477.7176797629588
Saudi Arabia,2018,386.2461449661728
Saudi Arabia,2022,390.3876155510652
Serbia,2018,439.8738894626235
Serbia,2022,447.4606644730866
Singapore,2016,555.5746824983803
Singapore,2018,550.936899986808
Singapore,2022,561.4332749173002
Slovak Republic,2016,460.7748555097651
Slovak Republic,2018,464.0475783434913
Slovak Republic,2022,462.2694831191075
Slovenia,2016,512.8635779734612
Slovenia,2018,507.0065459707745
Slovenia,2022,499.9648824735087
South Korea,2018,519.0072545812043
Spain,2016,492.786136217215
Spain,2018,483.2520427254884
Spain,2022,484.5336484301682
Sweden,2016,493.4223562247811
Sweden,2018,499.4446900593011
Sweden,2022,493.5493190819639
Switzerland,2016,505.5058154001824
Switzerland,2018,495.2762879685774
Switzerland,2022,502.5232415322321
Taiwan,2016,532.3474548058304
Taiwan,2018,515.7480277485714
Taiwan,2022,537.3803810477806
Thailand,2016,421.3373268833437
Thailand,2018,425.8134499771357
Thailand,2022,409.2643087315186
Trinidad and Tobago,2016,424.5904557271973
Tunisia,2016,386.4033665203683
Turkey,2016,425.4895095332602
Turkey,2018,468.2996186956931
TÃ¼rkiye,2022,475.9378020991971
Ukraine,2018,468.9877426124041
Ukraine,2022,450.1872380804724
United Arab Emirates,2016,436.7311446751075
United Arab Emirates,2018,433.6368026674683
United Arab Emirates,2022,431.9794709332868
United Kingdom,2016,509.2215041258149
United Kingdom,2018,504.6674735335847
United Kingdom,2022,499.6702137826572
United States,2016,496.2424343096372
United States,2018,502.3800320009215
United States,2022,499.4140640635121
Uruguay,2016,435.3629547800433
Uruguay,2018,425.8126766240907
Uruguay,2022,435.3847727981978
Uzbekistan,2022,354.8635651535274
Vietnam,2016,524.6445194051468
Vietnam,2022,472.3809617590945
